date,free_space_gb,disk_id
2021-06-01,53.120000000000005,0
2021-06-02,51.41,0
2021-06-03,51.45,0
2021-06-04,47.81,0
2021-06-05,48.3,0
2021-06-06,43.44,0
2021-06-07,44.46,0
2021-06-08,43.91,0
2021-06-09,40.32,0
2021-06-10,40.42,0
2021-06-11,40.52,0
2021-06-12,41.53,0
2021-06-13,36.27,0
2021-06-14,40.05,0
2021-06-15,37.56,0
2021-06-16,34.72,0
2021-06-17,32.74999999999999,0
2021-06-18,37.42,0
2021-06-19,36.03,0
2021-06-20,31.32,0
2021-06-21,32.14,0
2021-06-22,31.64,0
2021-06-23,28.78,0
2021-06-24,29.61,0
2021-06-25,29.01,0
2021-06-26,25.68,0
2021-06-27,28.25,0
2021-06-28,22.7,0
2021-06-29,21.78,0
2021-06-30,21.020000000000003,0
2021-06-01,44.78,1
2021-06-02,46.45,1
2021-06-03,42.65,1
2021-06-04,45.0,1
2021-06-05,42.75,1
2021-06-06,43.38,1
2021-06-07,40.42,1
2021-06-08,40.96,1
2021-06-09,36.53,1
2021-06-10,34.85,1
2021-06-11,35.739999999999995,1
2021-06-12,35.459999999999994,1
2021-06-13,33.62,1
2021-06-14,32.02,1
2021-06-15,27.770000000000003,1
2021-06-16,29.93,1
2021-06-17,26.09,1
2021-06-18,29.13,1
2021-06-19,25.270000000000003,1
2021-06-20,27.1,1
2021-06-21,26.160000000000004,1
2021-06-22,23.27,1
2021-06-23,20.96,1
2021-06-24,20.91,1
2021-06-25,19.58,1
2021-06-26,22.95,1
2021-06-27,18.020000000000003,1
2021-06-28,22.0,1
2021-06-29,19.27,1
2021-06-30,15.82,1
2021-06-01,51.78,2
2021-06-02,50.760000000000005,2
2021-06-03,45.7,2
2021-06-04,46.93,2
2021-06-05,43.440000000000005,2
2021-06-06,43.25000000000001,2
2021-06-07,42.39,2
2021-06-08,36.61,2
2021-06-09,32.60999999999999,2
2021-06-10,36.52,2
2021-06-11,31.37,2
2021-06-12,30.76,2
2021-06-13,26.18,2
2021-06-14,22.36,2
2021-06-15,21.32,2
2021-06-16,18.26,2
2021-06-17,20.51,2
2021-06-18,18.71,2
2021-06-19,16.480000000000004,2
2021-06-20,14.73,2
2021-06-21,12.66,2
2021-06-22,11.72,2
2021-06-23,7.449999999999999,2
2021-06-24,5.73,2
2021-06-25,4.529999999999999,2
2021-06-26,5.199999999999999,2
2021-06-27,4.74,2
2021-06-28,2.27,2
2021-06-29,2.03,2
2021-06-30,-0.88,2
2021-06-01,50.24,3
2021-06-02,47.620000000000005,3
2021-06-03,47.26,3
2021-06-04,44.16,3
2021-06-05,49.14,3
2021-06-06,46.64000000000001,3
2021-06-07,46.25,3
2021-06-08,47.76,3
2021-06-09,42.65,3
2021-06-10,41.23,3
2021-06-11,43.88999999999999,3
2021-06-12,41.47,3
2021-06-13,40.29,3
2021-06-14,38.28,3
2021-06-15,38.24,3
2021-06-16,36.15,3
2021-06-17,35.41,3
2021-06-18,34.45,3
2021-06-19,34.78,3
2021-06-20,33.01,3
2021-06-21,30.46,3
2021-06-22,28.66,3
2021-06-23,27.42,3
2021-06-24,29.0,3
2021-06-25,28.06,3
2021-06-26,25.75,3
2021-06-27,27.74,3
2021-06-28,24.15,3
2021-06-29,22.15,3
2021-06-30,18.02,3
2021-06-01,45.82,4
2021-06-02,44.5,4
2021-06-03,44.1,4
2021-06-04,44.54,4
2021-06-05,38.31,4
2021-06-06,40.92000000000001,4
2021-06-07,39.93,4
2021-06-08,40.95,4
2021-06-09,38.87,4
2021-06-10,36.83,4
2021-06-11,35.2,4
2021-06-12,31.95,4
2021-06-13,29.98,4
2021-06-14,34.81,4
2021-06-15,32.44,4
2021-06-16,29.58,4
2021-06-17,27.99,4
2021-06-18,26.94,4
2021-06-19,28.41,4
2021-06-20,27.36,4
2021-06-21,21.79,4
2021-06-22,21.94,4
2021-06-23,26.12,4
2021-06-24,21.56,4
2021-06-25,20.270000000000003,4
2021-06-26,20.38,4
2021-06-27,22.44,4
2021-06-28,22.130000000000003,4
2021-06-29,21.83,4
2021-06-30,15.47,4
2021-06-01,53.620000000000005,5
2021-06-02,50.14000000000001,5
2021-06-03,45.18,5
2021-06-04,45.05,5
2021-06-05,44.0,5
2021-06-06,43.400000000000006,5
2021-06-07,41.27,5
2021-06-08,41.53,5
2021-06-09,40.1,5
2021-06-10,31.84,5
2021-06-11,29.0,5
2021-06-12,26.41,5
2021-06-13,25.8,5
2021-06-14,21.72,5
2021-06-15,22.08,5
2021-06-16,19.71,5
2021-06-17,20.56,5
2021-06-18,15.98,5
2021-06-19,14.37,5
2021-06-20,13.81,5
2021-06-21,15.1,5
2021-06-22,9.589999999999998,5
2021-06-23,8.42,5
2021-06-24,9.5,5
2021-06-25,5.56,5
2021-06-26,3.81,5
2021-06-27,5.25,5
2021-06-28,4.3100000000000005,5
2021-06-29,-0.2400000000000001,5
2021-06-30,-2.49,5
2021-06-01,50.24,6
2021-06-02,47.870000000000005,6
2021-06-03,47.63,6
2021-06-04,48.37,6
2021-06-05,48.36,6
2021-06-06,48.49,6
2021-06-07,45.83,6
2021-06-08,46.65,6
2021-06-09,44.07,6
2021-06-10,42.39,6
2021-06-11,42.34,6
2021-06-12,41.3,6
2021-06-13,41.57,6
2021-06-14,40.61000000000001,6
2021-06-15,36.32,6
2021-06-16,34.559999999999995,6
2021-06-17,36.19,6
2021-06-18,30.72,6
2021-06-19,34.87,6
2021-06-20,33.95,6
2021-06-21,30.53,6
2021-06-22,28.38,6
2021-06-23,26.0,6
2021-06-24,28.59,6
2021-06-25,28.4,6
2021-06-26,25.3,6
2021-06-27,21.96,6
2021-06-28,24.2,6
2021-06-29,24.68,6
2021-06-30,20.4,6
